product_id,date,units_sold
prod-1,2026-07-01,2
prod-2,2026-07-01,3
prod-3,2026-07-01,2
prod-4,2026-07-01,4
prod-1,2026-07-02,2
prod-2,2026-07-02,3
prod-3,2026-07-02,2
prod-4,2026-07-02,4
prod-1,2026-07-03,2
prod-2,2026-07-03,3
prod-3,2026-07-03,2
prod-4,2026-07-03,4
prod-1,2026-07-04,2
prod-2,2026-07-04,3
prod-3,2026-07-04,2
prod-4,2026-07-04,4
prod-1,2026-07-05,2
prod-2,2026-07-05,3
prod-3,2026-07-05,2
prod-4,2026-07-05,4
prod-1,2026-07-06,2
prod-2,2026-07-06,3
prod-3,2026-07-06,2
prod-4,2026-07-06,4
prod-1,2026-07-07,2
prod-2,2026-07-07,3
prod-3,2026-07-07,2
prod-4,2026-07-07,4
prod-1,2026-07-08,2
prod-2,2026-07-08,3
prod-3,2026-07-08,6
prod-4,2026-07-08,4
prod-1,2026-07-09,2
prod-2,2026-07-09,3
prod-3,2026-07-09,6
prod-4,2026-07-09,4
prod-1,2026-07-10,2
prod-2,2026-07-10,3
prod-3,2026-07-10,6
prod-4,2026-07-10,4
prod-1,2026-07-11,2
prod-2,2026-07-11,0
prod-3,2026-07-11,6
prod-4,2026-07-11,4
prod-1,2026-07-12,2
prod-2,2026-07-12,0
prod-3,2026-07-12,6
prod-4,2026-07-12,4
prod-1,2026-07-13,2
prod-2,2026-07-13,0
prod-3,2026-07-13,6
prod-4,2026-07-13,4
prod-1,2026-07-14,2
prod-2,2026-07-14,0
prod-3,2026-07-14,6
prod-4,2026-07-14,4
