product_id,date,stock_level
prod-1,2026-07-01,20
prod-2,2026-07-01,10
prod-3,2026-07-01,100
prod-4,2026-07-01,30
prod-1,2026-07-02,19
prod-2,2026-07-02,9
prod-3,2026-07-02,100
prod-4,2026-07-02,30
prod-1,2026-07-03,18
prod-2,2026-07-03,8
prod-3,2026-07-03,100
prod-4,2026-07-03,30
prod-1,2026-07-04,17
prod-2,2026-07-04,7
prod-3,2026-07-04,100
prod-4,2026-07-04,30
prod-1,2026-07-05,16
prod-2,2026-07-05,6
prod-3,2026-07-05,100
prod-4,2026-07-05,30
prod-1,2026-07-06,15
prod-2,2026-07-06,5
prod-3,2026-07-06,100
prod-4,2026-07-06,30
prod-1,2026-07-07,14
prod-2,2026-07-07,4
prod-3,2026-07-07,100
prod-4,2026-07-07,30
prod-1,2026-07-08,13
prod-2,2026-07-08,3
prod-3,2026-07-08,100
prod-4,2026-07-08,30
prod-1,2026-07-09,12
prod-2,2026-07-09,2
prod-3,2026-07-09,100
prod-4,2026-07-09,30
prod-1,2026-07-10,11
prod-2,2026-07-10,1
prod-3,2026-07-10,100
prod-4,2026-07-10,30
prod-1,2026-07-11,10
prod-2,2026-07-11,0
prod-3,2026-07-11,100
prod-4,2026-07-11,30
prod-1,2026-07-12,9
prod-2,2026-07-12,0
prod-3,2026-07-12,100
prod-4,2026-07-12,30
prod-1,2026-07-13,8
prod-2,2026-07-13,0
prod-3,2026-07-13,100
prod-4,2026-07-13,30
prod-1,2026-07-14,7
prod-2,2026-07-14,0
prod-3,2026-07-14,100
prod-4,2026-07-14,30
